key,en,no,de,ru,pl,fr,es,it,da,nl
app.root_title,OSFC Driver App,OSFC driverapp,OSFC-Treiber-App,Приложение драйвера OSFC,Aplikacja sterownika OSFC,Application de pilote OSFC,Aplicación del controlador OSFC,Applicazione driver OSFC,OSFC driver app,OSFC-stuurprogramma-app
app.main_menu.title,Menu,Meny,Speisekarte,Меню,Menu,Menu,Menú,Menu,Menu,Menu
app.main_menu.screen.home,Home,Hjem,Heim,Дом,Dom,Maison,Hogar,Casa,Hjem,Thuis
app.error.security.allowed_app_user_role,Current user role disallowed to use App,Gjeldende brukerrolle har ikke tillatelse til å bruke appen,Aktuelle Benutzerrolle erlaubt keine Nutzung der App,Текущая роль пользователя не позволяет использовать приложение,Obecna rola użytkownika nie zezwala na korzystanie z aplikacji,Le rôle d&#39;utilisateur actuel n&#39;est pas autorisé à utiliser l&#39;application,El rol de usuario actual no tiene permitido usar la aplicación,Ruolo utente corrente non autorizzato a utilizzare l&#39;app,Den aktuelle brugerrolle har ikke tilladelse til at bruge appen,Huidige gebruikersrol mag app niet gebruiken
app.error.warning,Warning,Advarsel,Warnung,Предупреждение,Ostrzeżenie,Avertissement,Advertencia,Avvertimento,Advarsel,Waarschuwing
app.error.invalid_phone_number,Invalid phone number,Ugyldig telefonnummer,Ungültige Telefonnummer,Неверный номер телефона,Nieprawidłowy numer telefonu,Numéro de téléphone invalide,Número de teléfono inválido,Numero di telefono non valido,Ugyldigt telefonnummer,Ongeldig telefoonnummer
app.buttons.send,Send,Sende,Schicken,Отправлять,Wysłać,Envoyer,Enviar,Inviare,Sende,Versturen
app.buttons.resend,Resend,Send på nytt,Erneut senden,Отправить повторно,Wyślij ponownie,Renvoyer,Reenviar,Invia di nuovo,Send igen,Opnieuw verzenden
app.buttons.logout,Logout,Logg ut,Ausloggen,Выйти,Wyloguj,Déconnexion,Cerrar sesión,Esci,Log ud,Uitloggen
app.phone_login.buttons.back_to_phone,Back to phone editing,Tilbake til telefonredigering,Zurück zur Telefonbearbeitung,Вернуться к редактированию на телефоне,Powrót do edycji telefonu,Retour à l&#39;édition téléphonique,Volver a la edición del teléfono,Torna alla modifica del telefono,Tilbage til telefonredigering,Terug naar telefoonbewerking
app.phone_login.fields.verification_code.helper_text.countdown_on,Next try after,Neste forsøk etterpå,Nächster Versuch nach,Следующая попытка после,Następna próba po,Prochain essai après,Próximo intento después,Prossimo tentativo dopo,Næste forsøg efter,Volgende poging na
app.phone_login.fields.verification_code.helper_text.countdown_off,"If the code has not arrived, click","Hvis koden ikke har kommet, klikk","Wenn der Code nicht angekommen ist, klicken Sie auf","Если код не пришел, нажмите","Jeżeli kod nie dotarł, kliknij","Si le code n&#39;est pas arrivé, cliquez sur","Si el código no ha llegado, haga clic en","Se il codice non è arrivato, clicca","Hvis koden ikke er ankommet, klik","Als de code niet is aangekomen, klikt u op"
app.phone_login.error.verification_error,Verification Error,Bekreftelsesfeil,Überprüfungsfehler,Ошибка проверки,Błąd weryfikacji,Erreur de vérification,Error de verificación,Errore di verifica,Bekræftelsesfejl,Verificatiefout
